index,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta
112,-8.70954,0.805833,0.94109,2,3,0,0.530719
113,-6.83844,1,0.94109,1,1,0,0.305487
114,-7.34701,0.908663,0.94109,2,3,0,0.132156
115,-7.27232,1,0.94109,1,1,0,0.138505
116,-6.91416,1,0.94109,1,1,0,0.182943
117,-6.82074,1,0.94109,1,1,0,0.204466
118,-7.11233,0.922575,0.94109,2,3,0,0.365266
119,-7.01063,1,0.94109,2,3,0,0.346948
120,-8.4832,0.764072,0.94109,2,3,0,0.513422
121,-7.27611,0.839979,0.94109,2,3,0,0.138168
122,-7.22065,0.941654,0.94109,2,3,0,0.382334
123,-8.24955,0.652557,0.94109,1,1,0,0.494249
124,-6.77762,1,0.94109,2,3,0,0.281203
125,-6.75211,1,0.94109,1,1,0,0.261415
126,-6.75211,0.767897,0.94109,2,3,0,0.261415
127,-6.85599,0.956075,0.94109,2,3,0,0.195117
128,-7.17369,0.924089,0.94109,1,1,0,0.147944
129,-7.53884,0.959741,0.94109,2,3,0,0.423994
130,-11.0863,0.546916,0.94109,2,3,0,0.665882
131,-6.99964,1,0.94109,1,1,0,0.344787
132,-8.54754,0.532112,0.94109,1,1,0,0.518458
133,-7.93983,1,0.94109,1,1,0,0.466277
134,-7.3024,1,0.94109,1,1,0,0.394043
135,-6.81035,1,0.94109,2,3,0,0.295763
136,-6.88225,0.97441,0.94109,1,1,0,0.31816
137,-10.1859,0.262988,0.94109,1,1,0,0.622301
138,-6.96571,1,0.94109,1,1,0,0.337825
139,-6.8955,1,0.94109,1,1,0,0.3216
140,-6.8955,0.365192,0.94109,1,1,0,0.3216
141,-6.74807,1,0.94109,2,3,0,0.251186
142,-7.29972,0.863256,0.94109,2,3,0,0.136105
143,-6.8196,0.861578,0.94109,2,3,0,0.299155
144,-6.74805,0.9802,0.94109,2,3,0,0.250909
145,-7.10689,0.923756,0.94109,2,3,0,0.155215
146,-7.69445,0.947323,0.94109,2,3,0,0.441416
147,-7.69445,0.418383,0.94109,1,1,0,0.441416
148,-6.94782,0.953088,0.94109,2,3,0,0.177031
149,-7.22011,0.972457,0.94109,2,3,0,0.382254
150,-7.22892,0.996468,0.94109,1,1,0,0.383559
151,-6.86974,0.972042,0.94109,2,3,0,0.191951
152,-6.85377,1,0.94109,2,3,0,0.195651
153,-7.11824,0.935844,0.94109,1,1,0,0.153919
154,-7.23841,0.97456,0.94109,1,1,0,0.141601
155,-8.25585,0.929014,0.94109,2,3,0,0.494786
156,-7.96663,1,0.94109,1,1,0,0.468832
157,-7.95763,1,0.94109,2,3,0,0.467977
158,-6.95626,1,0.94109,1,1,0,0.335798
159,-7.58919,0.889414,0.94109,2,3,0,0.114924
160,-6.79834,0.915473,0.94109,2,3,0,0.290979
161,-6.9418,0.949444,0.94109,1,1,0,0.332614
162,-8.08305,0.632872,0.94109,1,1,0,0.47962
163,-8.08305,0.402654,0.94109,1,1,0,0.47962
164,-7.42172,1,0.94109,2,3,0,0.126354
165,-6.82247,0.915446,0.94109,2,3,0,0.203954
166,-7.82136,0.824293,0.94109,2,3,0,0.101756
167,-6.90734,1,0.94109,2,3,0,0.184225
168,-6.8249,0.942231,0.94109,2,3,0,0.203246
169,-7.05288,0.94258,0.94109,1,1,0,0.161773
170,-6.87364,1,0.94109,1,1,0,0.191089
171,-7.624,0.823179,0.94109,2,3,0,0.433712
172,-8.66423,0.644232,0.94109,1,1,0,0.527347
173,-6.74857,1,0.94109,2,3,0,0.245876
174,-6.99364,0.93912,0.94109,2,3,0,0.169883
175,-7.12372,0.85815,0.94109,2,3,0,0.153304
176,-8.93598,0.806255,0.94109,2,3,0,0.0615363
177,-6.7488,0.851089,0.94109,2,3,0,0.245082
178,-6.75768,0.994283,0.94109,2,3,0,0.267632
179,-7.19508,0.887023,0.94109,2,3,0,0.378482
180,-7.07436,1,0.94109,1,1,0,0.358741
181,-6.75735,1,0.94109,2,3,0,0.267323
182,-6.75234,1,0.94109,1,1,0,0.261738
183,-8.73855,0.576114,0.94109,2,3,0,0.0668518
184,-6.8867,0.996626,0.94109,2,3,0,0.188316
185,-6.83264,1,0.94109,1,1,0,0.201072
186,-6.92404,0.976142,0.94109,1,1,0,0.181138
187,-6.95006,0.993525,0.94109,1,1,0,0.17666
188,-7.77518,0.881004,0.94109,2,3,0,0.449909
189,-6.76198,0.437847,0.94109,2,3,0,0.271262
190,-6.7824,0.993081,0.94109,1,1,0,0.28369
191,-6.85284,0.991495,0.94109,2,3,0,0.195874
192,-7.15655,0.926981,0.94109,1,1,0,0.149733
193,-8.49902,0.863485,0.94109,2,3,0,0.0741294
194,-8.26232,0.954152,0.94109,2,3,0,0.082405
195,-6.95518,1,0.94109,2,3,0,0.17582
196,-6.96936,0.905712,0.94109,2,3,0,0.173558
197,-8.60453,0.78298,0.94109,2,3,0,0.0708011
198,-6.88974,0.830955,0.94109,2,3,0,0.320122
199,-6.79957,1,0.94109,1,1,0,0.291491
200,-7.08672,0.899934,0.94109,1,1,0,0.360901
201,-8.02037,0.822957,0.94109,2,3,0,0.0922708
202,-8.02037,0.935791,0.94109,1,1,0,0.0922708
203,-6.7488,1,0.94109,2,3,0,0.245077
204,-7.49789,0.47962,0.94109,2,3,0,0.419144
205,-6.82584,1,0.94109,1,1,0,0.30133
206,-7.19463,0.937387,0.94109,2,3,0,0.145823
207,-6.87754,1,0.94109,1,1,0,0.190244
208,-6.8791,0.999594,0.94109,1,1,0,0.189911
209,-7.49694,0.903778,0.94109,2,3,0,0.120979
210,-7.02016,1,0.94109,2,3,0,0.166116
211,-6.7777,0.976588,0.94109,2,3,0,0.281248
212,-7.2011,0.890317,0.94109,2,3,0,0.379399
213,-6.81818,0.983888,0.94109,2,3,0,0.205236
214,-7.17442,0.907278,0.94109,2,3,0,0.375297
215,-7.00605,1,0.94109,1,1,0,0.346054
216,-6.91874,1,0.94109,1,1,0,0.327302
217,-6.91874,0.439811,0.94109,1,1,0,0.327302
218,-6.77177,1,0.94109,1,1,0,0.277877
219,-7.37799,0.825195,0.94109,2,3,0,0.129689
220,-6.94296,1,0.94109,1,1,0,0.177846
221,-7.04297,0.976187,0.94109,1,1,0,0.163055
222,-7.35057,0.917702,0.94109,2,3,0,0.400568
223,-7.04065,1,0.94109,1,1,0,0.352649
224,-7.04065,0.808785,0.94109,2,3,0,0.352649
225,-7.8769,0.845056,0.94109,2,3,0,0.0989632
226,-9.33015,0.879433,0.94109,2,3,0,0.57305
227,-7.33194,1,0.94109,1,1,0,0.398074
228,-7.21855,1,0.94109,1,1,0,0.382021
229,-7.21855,0.713537,0.94109,1,1,0,0.382021
230,-8.02698,0.715892,0.94109,1,1,0,0.474487
231,-6.90675,1,0.94109,1,1,0,0.324407
232,-6.76207,0.995332,0.94109,2,3,0,0.229448
233,-7.13899,0.917853,0.94109,2,3,0,0.151618
234,-6.83914,1,0.94109,1,1,0,0.19933
235,-8.00766,0.802455,0.94109,2,3,0,0.0928355
236,-6.82801,0.883705,0.94109,2,3,0,0.302068
237,-6.82766,0.733079,0.94109,2,3,0,0.30195
238,-6.74811,0.982505,0.94109,2,3,0,0.24832
239,-7.00966,0.940846,0.94109,2,3,0,0.167577
240,-6.91222,1,0.94109,1,1,0,0.183305
241,-6.83878,1,0.94109,1,1,0,0.199424
242,-6.91593,0.979865,0.94109,1,1,0,0.182616
243,-7.01361,0.964877,0.94109,2,3,0,0.347528
244,-7.01064,1,0.94109,2,3,0,0.34695
245,-6.81298,1,0.94109,1,1,0,0.29675
246,-7.131,0.946631,0.94109,2,3,0,0.36836
247,-6.79212,1,0.94109,2,3,0,0.288286
248,-6.79212,0.301179,0.94109,2,3,0,0.288286
249,-7.18193,0.92842,0.94109,2,3,0,0.147101
250,-6.81181,1,0.94109,2,3,0,0.296312
251,-6.81181,0.4878,0.94109,2,3,0,0.296312
252,-7.04192,0.918754,0.94109,1,1,0,0.352884
253,-6.77204,1,0.94109,2,3,0,0.278042
254,-7.15861,0.863401,0.94109,2,3,0,0.149515
255,-8.15533,0.936413,0.94109,2,3,0,0.48608
256,-7.14856,0.881364,0.94109,2,3,0,0.150584
257,-6.74964,0.991174,0.94109,2,3,0,0.242938
258,-6.86691,0.968206,0.94109,2,3,0,0.313978
259,-6.81802,1,0.94109,2,3,0,0.298591
260,-6.94875,0.953333,0.94109,1,1,0,0.334158
261,-6.81361,0.983009,0.94109,2,3,0,0.206649
262,-6.89063,0.979391,0.94109,1,1,0,0.187512
263,-6.9074,0.995694,0.94109,1,1,0,0.184213
264,-7.14568,0.981438,0.94109,2,3,0,0.150893
265,-7.7055,0.947119,0.94109,2,3,0,0.442598
266,-6.85129,1,0.94109,1,1,0,0.309454
267,-6.85129,0.871342,0.94109,1,1,0,0.309454
268,-6.83351,1,0.94109,1,1,0,0.303894
269,-7.47943,0.879179,0.94109,2,3,0,0.122192
270,-7.41592,1,0.94109,1,1,0,0.126787
271,-7.12824,1,0.94109,1,1,0,0.1528
272,-7.74668,0.884976,0.94109,1,1,0,0.10571
273,-9.54569,0.821084,0.94109,2,3,0,0.0481262
274,-6.92539,1,0.94109,2,3,0,0.328865
275,-6.83001,0.980005,0.94109,2,3,0,0.201797
276,-6.81165,1,0.94109,1,1,0,0.207271
277,-7.65231,0.801751,0.94109,2,3,0,0.436843
278,-7.65486,0.999645,0.94109,2,3,0,0.437122
279,-6.97081,1,0.94109,2,3,0,0.173332
280,-6.97081,0.372245,0.94109,2,3,0,0.173332
281,-6.81033,1,0.94109,2,3,0,0.295752
282,-7.0538,0.960341,0.94109,2,3,0,0.355062
283,-6.76608,0.996158,0.94109,2,3,0,0.22676
284,-6.7564,1,0.94109,1,1,0,0.234058
285,-6.74802,0.999939,0.94109,2,3,0,0.250285
286,-6.80424,0.969323,0.94109,2,3,0,0.209727
287,-6.83087,0.971553,0.94109,2,3,0,0.20156
288,-10.1465,0.557886,0.94109,2,3,0,0.0381819
289,-7.25708,1,0.94109,2,3,0,0.139878
290,-8.07693,0.862763,0.94109,1,1,0,0.0898171
291,-7.90245,1,0.94109,1,1,0,0.0977184
292,-7.13401,0.969663,0.94109,2,3,0,0.152163
293,-7.53345,0.922446,0.94109,1,1,0,0.118516
294,-7.00908,1,0.94109,1,1,0,0.16766
295,-6.96134,0.912056,0.94109,2,3,0,0.336892
296,-6.78167,1,0.94109,1,1,0,0.283323
297,-6.74803,0.994762,0.94109,2,3,0,0.249378
298,-6.74809,0.999981,0.94109,1,1,0,0.248499
299,-7.06946,0.919371,0.94109,2,3,0,0.159685
300,-7.76588,0.867833,0.94109,1,1,0,0.104671
301,-6.86303,0.891803,0.94109,2,3,0,0.312883
302,-6.79493,1,0.94109,1,1,0,0.289522
303,-6.7717,1,0.94109,1,1,0,0.277834
304,-7.15619,0.900187,0.94109,2,3,0,0.372425
305,-7.01538,0.916065,0.94109,2,3,0,0.166777
306,-7.29607,0.939783,0.94109,1,1,0,0.13642
307,-7.61883,0.980464,0.94109,2,3,0,0.113089
308,-9.14373,0.833584,0.94109,2,3,0,0.0565056
309,-8.33115,1,0.94109,1,1,0,0.0798729
310,-9.19963,0.969798,0.94109,2,3,0,0.0552399
311,-8.74633,1,0.94109,1,1,0,0.0666314
312,-7.59723,1,0.94109,2,3,0,0.114422
313,-6.78943,0.988466,0.94109,2,3,0,0.21523
314,-6.86231,0.992469,0.94109,2,3,0,0.312677
315,-6.87095,0.996844,0.94109,1,1,0,0.315103
316,-6.74802,1,0.94109,2,3,0,0.250016
317,-7.15251,0.898549,0.94109,2,3,0,0.150162
318,-7.02755,1,0.94109,1,1,0,0.165107
319,-6.78268,0.949662,0.94109,2,3,0,0.218093
320,-6.80208,0.998153,0.94109,2,3,0,0.210476
321,-7.08443,0.947451,0.94109,2,3,0,0.157859
322,-6.83487,1,0.94109,1,1,0,0.200466
323,-7.05576,0.944819,0.94109,1,1,0,0.161405
324,-8.03873,0.557039,0.94109,2,3,0,0.0914634
325,-7.22236,1,0.94109,1,1,0,0.143117
326,-7.37027,0.970702,0.94109,1,1,0,0.130295
327,-8.67381,0.853908,0.94109,2,3,0,0.0687229
328,-7.11774,1,0.94109,2,3,0,0.366169
329,-6.80688,1,0.94109,2,3,0,0.294428
330,-6.74819,1,0.94109,2,3,0,0.252296
331,-6.7793,0.9838,0.94109,2,3,0,0.282099
332,-7.1506,0.87379,0.94109,1,1,0,0.371533
333,-6.75104,1,0.94109,2,3,0,0.2598
334,-6.78809,0.984388,0.94109,2,3,0,0.215774
335,-7.30982,0.800125,0.94109,2,3,0,0.395065
336,-7.45162,0.94363,0.94109,1,1,0,0.413511
337,-6.83191,0.986233,0.94109,2,3,0,0.201271
338,-6.87628,0.988174,0.94109,1,1,0,0.190517
339,-7.87316,0.832319,0.94109,2,3,0,0.0991479
340,-7.0033,1,0.94109,2,3,0,0.168482
341,-8.32755,0.69638,0.94109,2,3,0,0.500814
342,-7.17037,1,0.94109,2,3,0,0.374663
343,-7.17037,0.90985,0.94109,1,1,0,0.374663
344,-6.75624,1,0.94109,2,3,0,0.234206
345,-6.74807,0.99675,0.94109,2,3,0,0.248775
346,-6.76456,0.96959,0.94109,2,3,0,0.273182
347,-7.00495,0.911376,0.94109,2,3,0,0.168246
348,-6.92489,1,0.94109,1,1,0,0.180987
349,-7.3226,0.911832,0.94109,1,1,0,0.134165
350,-6.97106,1,0.94109,1,1,0,0.173293
351,-6.76683,0.957607,0.94109,2,3,0,0.226295
352,-6.88717,0.966287,0.94109,2,3,0,0.319456
353,-8.28033,0.775762,0.94109,2,3,0,0.496861
354,-6.83304,1,0.94109,1,1,0,0.303742
355,-8.38234,0.545095,0.94109,1,1,0,0.505324
356,-6.85296,1,0.94109,2,3,0,0.309951
357,-7.29081,0.846224,0.94109,1,1,0,0.392434
358,-7.01877,1,0.94109,1,1,0,0.348524
359,-6.79524,1,0.94109,1,1,0,0.289658
360,-6.74811,0.988306,0.94109,2,3,0,0.251691
361,-6.75358,0.991663,0.94109,2,3,0,0.263329
362,-7.7845,0.753387,0.94109,2,3,0,0.450869
363,-7.01974,1,0.94109,1,1,0,0.34871
364,-7.01974,0.194271,0.94109,1,1,0,0.34871
365,-9.44104,0.369508,0.94109,1,1,0,0.57996
366,-7.64151,1,0.94109,2,3,0,0.111719
367,-6.78836,0.923803,0.94109,2,3,0,0.286573
368,-6.75011,0.998259,0.94109,2,3,0,0.241979
369,-7.21854,0.808196,0.94109,2,3,0,0.143484
370,-7.02621,0.960426,0.94109,2,3,0,0.165288
371,-6.8426,1,0.94109,1,1,0,0.198431
372,-7.64909,0.731825,0.94109,2,3,0,0.436489
373,-7.05828,1,0.94109,1,1,0,0.355874
374,-6.92099,1,0.94109,2,3,0,0.181689
375,-6.86658,0.9306,0.94109,2,3,0,0.192659
376,-7.13248,0.928547,0.94109,2,3,0,0.368602
377,-7.13248,0.287818,0.94109,1,1,0,0.368602
378,-7.13248,0.678631,0.94109,1,1,0,0.368602
379,-6.77417,1,0.94109,2,3,0,0.279286
380,-7.24581,0.858273,0.94109,2,3,0,0.140912
381,-7.75488,0.946954,0.94109,2,3,0,0.447805
382,-6.76376,0.543243,0.94109,2,3,0,0.228274
383,-7.27358,0.893081,0.94109,2,3,0,0.138393
384,-7.10383,1,0.94109,1,1,0,0.155569
385,-7.43721,0.908182,0.94109,2,3,0,0.125212
386,-7.86615,0.97637,0.94109,2,3,0,0.0994944
387,-7.78757,1,0.94109,2,3,0,0.103516
388,-7.8061,0.997093,0.94109,1,1,0,0.102544
389,-6.89844,0.980824,0.94109,2,3,0,0.185949
390,-6.89844,0.612062,0.94109,2,3,0,0.185949
391,-7.0152,0.97145,0.94109,1,1,0,0.166801
392,-7.38843,0.921772,0.94109,1,1,0,0.128878
393,-6.82448,1,0.94109,2,3,0,0.300864
394,-6.88694,0.992528,0.94109,2,3,0,0.319394
395,-6.95768,0.973882,0.94109,1,1,0,0.336106
396,-6.74835,0.905324,0.94109,2,3,0,0.246823
397,-6.75148,0.888314,0.94109,2,3,0,0.260487
398,-7.89171,0.72659,0.94109,2,3,0,0.0982391
399,-8.42085,0.929988,0.94109,1,1,0,0.0767314
400,-6.90017,1,0.94109,2,3,0,0.185609
401,-7.28339,0.913131,0.94109,1,1,0,0.137525
402,-6.83173,1,0.94109,2,3,0,0.303309
403,-6.76719,0.994035,0.94109,2,3,0,0.226074
404,-7.95808,0.389873,0.94109,2,3,0,0.46802
405,-8.21386,0.897207,0.94109,1,1,0,0.491187
406,-6.88222,1,0.94109,1,1,0,0.318155
407,-7.58314,0.76084,0.94109,1,1,0,0.429108
408,-7.86341,0.530454,0.94109,2,3,0,0.0996306
409,-6.74809,0.934558,0.94109,2,3,0,0.251472
410,-7.00474,0.93361,0.94109,2,3,0,0.168277
411,-7.81433,0.818881,0.94109,2,3,0,0.453912
412,-6.81852,1,0.94109,1,1,0,0.298773
413,-6.81363,1,0.94109,1,1,0,0.296989
414,-6.93637,0.983341,0.94109,2,3,0,0.331391
415,-6.93637,0.303675,0.94109,2,3,0,0.331391
416,-6.93637,0.311988,0.94109,1,1,0,0.331391
417,-6.76345,0.989034,0.94109,2,3,0,0.228484
418,-7.04369,0.925808,0.94109,2,3,0,0.353212
419,-6.79697,0.987041,0.94109,2,3,0,0.212315
420,-6.78078,1,0.94109,1,1,0,0.218949
421,-7.10301,0.935171,0.94109,2,3,0,0.155664
422,-6.98543,1,0.94109,1,1,0,0.171099
423,-7.51241,0.891085,0.94109,1,1,0,0.119924
424,-8.67339,0.836837,0.94109,1,1,0,0.068735
425,-8.43923,0.827339,0.94109,2,3,0,0.509924
426,-6.77565,1,0.94109,2,3,0,0.280123
427,-6.74871,0.991051,0.94109,2,3,0,0.254646
428,-8.72229,0.590013,0.94109,2,3,0,0.53166
429,-11.1655,0.370121,0.94109,1,1,0,0.669388
430,-7.16266,1,0.94109,2,3,0,0.37345
431,-7.29727,0.947381,0.94109,1,1,0,0.393333
432,-6.81622,1,0.94109,1,1,0,0.29794
433,-7.22384,0.927863,0.94109,2,3,0,0.142976
434,-8.45368,0.769981,0.94109,2,3,0,0.511079
435,-8.5297,0.968244,0.94109,1,1,0,0.517071
436,-6.85429,1,0.94109,1,1,0,0.310347
437,-6.80054,0.922885,0.94109,2,3,0,0.211018
438,-6.97807,0.683022,0.94109,2,3,0,0.172213
439,-7.16126,0.958596,0.94109,1,1,0,0.149237
440,-9.11254,0.776842,0.94109,2,3,0,0.0572273
441,-12.6763,0.769367,0.94109,2,3,0,0.0153115
442,-11.097,1,0.94109,1,1,0,0.0268536
443,-8.13629,0.982288,0.94109,2,3,0,0.0873431
444,-7.88865,1,0.94109,1,1,0,0.0983882
445,-7.35582,1,0.94109,1,1,0,0.131445
446,-6.83996,1,0.94109,2,3,0,0.199115
447,-6.94189,0.973682,0.94109,1,1,0,0.178026
448,-6.83485,1,0.94109,2,3,0,0.30433
449,-9.13189,0.328859,0.94109,2,3,0,0.0567783
450,-7.05956,1,0.94109,2,3,0,0.160923
451,-7.66986,0.881635,0.94109,1,1,0,0.110045
452,-8.77385,0.854266,0.94109,1,1,0,0.0658597
453,-8.13087,1,0.94109,2,3,0,0.0875649
454,-7.80436,1,0.94109,1,1,0,0.102635
455,-7.11066,1,0.94109,1,1,0,0.154782
456,-6.7783,1,0.94109,2,3,0,0.220112
457,-6.91117,0.96261,0.94109,2,3,0,0.325485
458,-6.78115,1,0.94109,1,1,0,0.283057
459,-6.76483,1,0.94109,1,1,0,0.273372
460,-6.8903,0.958862,0.94109,2,3,0,0.187578
461,-6.98399,0.962971,0.94109,2,3,0,0.341632
462,-7.0223,0.985388,0.94109,1,1,0,0.349198
463,-7.42927,0.639901,0.94109,2,3,0,0.125795
464,-7.56624,0.975495,0.94109,1,1,0,0.11638
465,-7.56624,0.886893,0.94109,1,1,0,0.11638
466,-6.99235,1,0.94109,1,1,0,0.170071
467,-6.82368,1,0.94109,2,3,0,0.300586
468,-7.02359,0.928768,0.94109,1,1,0,0.349445
469,-6.83772,1,0.94109,2,3,0,0.305255
470,-6.7615,1,0.94109,1,1,0,0.270885
471,-6.7615,0.266925,0.94109,2,3,0,0.270885
472,-6.90896,0.945014,0.94109,2,3,0,0.183917
473,-6.89317,1,0.94109,1,1,0,0.186997
474,-7.99116,0.758567,0.94109,2,3,0,0.471147
475,-7.6867,1,0.94109,1,1,0,0.440582
476,-7.6867,0.555817,0.94109,1,1,0,0.440582
477,-7.58638,1,0.94109,1,1,0,0.429478
478,-7.3953,1,0.94109,2,3,0,0.406414
479,-6.75229,1,0.94109,2,3,0,0.261661
480,-6.78888,0.990761,0.94109,2,3,0,0.286813
481,-6.78888,0.965842,0.94109,1,1,0,0.286813
482,-7.27205,0.836703,0.94109,1,1,0,0.389796
483,-6.81062,0.471204,0.94109,2,3,0,0.295865
484,-6.88018,0.776421,0.94109,2,3,0,0.189681
485,-6.76664,0.988647,0.94109,2,3,0,0.27462
486,-6.91732,0.948454,0.94109,1,1,0,0.326964
487,-6.91464,0.528486,0.94109,2,3,0,0.326322
488,-7.07619,0.940188,0.94109,1,1,0,0.359063
489,-7.07619,0.313127,0.94109,1,1,0,0.359063
490,-8.37329,0.439426,0.94109,2,3,0,0.0783755
491,-7.97119,1,0.94109,1,1,0,0.0944857
492,-6.77235,0.961958,0.94109,2,3,0,0.223129
493,-6.77235,0.861468,0.94109,2,3,0,0.223129
494,-6.77658,0.999586,0.94109,2,3,0,0.220949
